country_code;country_name;year;value
NIC;Nicaragua;2020;71.795
NOR;Norway;2020;83.209
NPL;Nepal;2020;69.246
NZL;New Zealand;2020;82.056
PAK;Pakistan;2020;66.269
PAN;Panama;2020;76.657
PER;Peru;2020;73.665
PHL;Philippines;2020;72.119
PRI;Puerto Rico;2020;78.041
PRT;Portugal;2020;80.975
PRY;Paraguay;2020;73.182
ROU;Romania;2020;74.353
RUS;Russian Federation;2020;71.338
SAU;Saudi Arabia;2020;76.239
SDN;Sudan;2020;65.614
SLV;El Salvador;2020;71.061
SRB;Serbia;2020;74.229
SVN;Slovenia;2020;80.531
SWE;Sweden;2020;82.407
TJK;Tajikistan;2020;67.994
TKM;Turkmenistan;2020;68.687
TLS;Timor-Leste;2020;68.475
TON;Tonga;2020;70.928
TUR;Turkiye;2020;75.85
TUV;Tuvalu;2020;64.382
TZA;Tanzania;2020;66.408
UGA;Uganda;2020;62.851
UKR;Ukraine;2020;71.1851
URY;Uruguay;2020;78.43
USA;United States;2020;77.2804
UZB;Uzbekistan;2020;70.331
VCT;St. Vincent and the Grenadines;2020;72.126
VEN;Venezuela, RB;2020;71.095
VNM;Vietnam;2020;75.378
VUT;Vanuatu;2020;70.299
WSM;Samoa;2020;72.768
XKX;Kosovo;2020;76.567
YEM;Yemen, Rep.;2020;64.65
ZAF;South Africa;2020;65.252
ZMB;Zambia;2020;62.38
ZWE;Zimbabwe;2020;61.124
